split_id,protocol,seed,fold,model_id,selected_hyperparameters
lopo__seed-42__fold-78,lopo,42,78,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-79,lopo,42,79,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-80,lopo,42,80,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-81,lopo,42,81,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-82,lopo,42,82,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-83,lopo,42,83,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 5}"
lopo__seed-42__fold-84,lopo,42,84,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 3, ""min_samples_leaf"": 20}"
lopo__seed-42__fold-85,lopo,42,85,dt_baseline,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
lopo__seed-42__fold-86,lopo,42,86,dt_baseline,"{""criterion"": ""log_loss"", ""max_depth"": 5, ""min_samples_leaf"": 20}"
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 20}"
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": null, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,dt_weighted_sqrt,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 10}"
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,dt_weighted_sqrt,"{""criterion"": ""log_loss"", ""max_depth"": 10, ""min_samples_leaf"": 5}"
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10}"
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1}"
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,dt_weighted_sqrt,"{""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 20}"
